File ki photo bhezo Webtech wali,Bai mere pass kaha h Mota le gy h
Webtech bhi Dbms ki bhezo fir,Na uski nhi banai Ye nhi banai Mote ke pass h
Ok,👍 Ye syd print out krvana h
Ha photo chipkani hai Aur likhna bhi hai,? Ok #include <iostream>
Aisha ho hi Nicole skta ki second heighest no array me ho na Jb element 2 ya 2 se jyada honge Yes sahi output de rha hai?,Input size 5 Batao second highest
5 hi hoga,Aaj aa rhe ho
Ha,Ok No second ele Bhai
Second heighest se tum Kya smjh rhe ho,😁 college me
Nikal gye?,Yap
👍,Kitne kiye Chef me
Abhi 3rd try kr rha hu,Ok
Bhai tumhe psit me khoob fotu khechte ho,🤩😅 5 karo acha question h
4 ho gya? 3 ka logic bnane me ft rhe hai 5 ki Kya baat kre,5 acha h dakho 3 last me krna
Dekhte hai Sum of prime check krne me tbiyat bigd rhi hai meri,Kyo 😅 2 hua
Nops Abhi wo pda bhi ni hai Time complexity exceed ho rhi hai Aishe ti To 3rd me File handeling use krne ki kosis kr rha Dekho sayd kaam bn jaye,Ok
👍 Abhi ja rha game khelne,Vo bi jaruri h
Ha,🤘🏻 ? Ye kya h? Game ka menu?
Ha Tumne hmko ubntu ka  start menu chipka diya🤣🤣,Ha login Bg hmne click kiya h..
Ye bhi game ki ni hai❌❌❌,3 submit kiya?
No. Jb mujhe lge ga sahi hai Tabhi upload kru ga,Ok
Bhai 4 Wala hua?,3 kr rhe
4 hua? 3 tle ho rha mera Jb free hona to batana call krni hai,Ok Hmm milla lege
Okk,? 🤔😅 Xor valla .01 sec  se tle Bhai sahb 🤩
Ha wahi ho rha hai Mera Baki sb case me 0.10 sec se hi fs rha hai,dakho hmne ak loop or km kiya to chall gy ta even odd valla o(2n)
💯 ni hua na,ho gy
Sahi hai boss,😅 This message was deleted 4 kr rhe ab
Ye glt baat hai Photo delete kr diye,Soch rhe h ... Pattern hi dudh le Dp na lagg paygi😅 🤭
Swap wala loop hme bhi dikhana Hme smjh ni arha abhi,3 ka
Ha kisi ka bhi,This message was deleted This message was deleted
4 wale ja Iska ni,This message was deleted Acha
Swapa Wala loop tree me,4 nhi kiya abho Abhi
Achha,Bai bina swap ke hoga sayd Dp se smjh rhe te but ab lagg rha h.. pattern hi hoga koi
Ha Pattern hi bne ga usme,Ok
Oye launde array sort kra tha 3 me,"Na Even , odd count kr liya ta"
Ha wo theek hai,Then
Ye theek hai,Then xor =0 and xor=2 Minus kr diya results ne
Wo kaise check kre ge,Xor=0
C ki copy hai tumhare pass Ya kbad me bech di,"Nhi , c pad rhe ho ky"
Na,Xor =x Count kr lo bass reslut
4th year ka launda mang rha hai,🤭🤣 sahi
Ha Infa rhi hai Tayaari kr rha hoga,Oh Bhai hogi muskil
Call kru?,"Bhut dudhnhi padegi Ha X vo number h 0,2"
Yes tawor oh hanoi Jaisa lg rha hai,Ha vahi h Modified
Ha Tabhi to jaisa Bola hai,Pattern to hoga fr
Ha Ab bhi hm ise smjh ni paye hai,Kal college me batt krte h
Okk,https://youtu.be/MrrZE_rrtlw Ye sunno mann halka hoga
Kya dekh rhe ho aaj kl Tum apna code bhezo,😃
Hm copy paste no kre ge Uski chinta mt krna,3
Ha,Kr bi loge to kya hua
Jo bhi.,Vo kon sa app ta jisme me ungli se likh rhe te? Phn me
Google keep,Ok 7 ka max and min kya aa rha ta? Ho gy bhai This message was deleted This message was deleted
Ni sir Abhi tk ni Bhai apna bad shuffle bhezo Mujhe answers match krne hai,Bhai soo gy te Ruko bejte h
Ha yahi to likhe hai Bhai hm code mang rhe hai Answers match krna chahta hu,Check kr lo Rotation me kutch galt kr rhe hoge ? Ok dakh lo
Hm apne machine pr run kr ke answers match kr ge,Ok N=7
Hm submit ni are ge,Max : 2341675 Min: 7123456 Ye kaha 🤣😅 🤭👍
check answers what is the issue with it wo upr harsh tha hmne ni bheze hai wo voice messeges bhai isme test case ni isme hmra answer ise liye glt a rha hai,Bhai sahi to hh output Apna program dikhao
ho gya isme testcases wala input ni tha is wjh se hmara wrong ho rha tha,Ok 👍 7 and valla karo
ha ab wahi kre ge,"Ok 1,2 bi kr lo"
ha 1 kr liya hai submit krna hai,Ok
mzak hai wo question to,Hmm to bhr h Party me gr phauch kr krte h
cool okk enjoy hm bhi abhi ghoom ke aye hai,Oh badiya
Harsh ke sath ghoom rhe the,Ha bahug voice masg krdige usne
ha mere phone ki battery ki 1 percent the wahi switch off krne me lga tha,Oh 7 hua
trying,Ok
ek method apply kr rha hu dekho lg gya to mza aa jaye gi.,Oh.. tik Kro chale to batana
Isame tum sub sequesnces ke sum ko index I pr store krwa skte ho? Jaise 1 index pr 1 hai to 1 hi rhe ga But 2 index pr bhi 1 total sum of all sub sequences 3 hoga Wo store krwaye ge Ye Wala step order of n me ho Jaye to kaam bn Jaye ga,Oh.. hm jo kr rhe h uski to n^3 aa rhi h
